SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,Mean_Density,Mean_Biomass,Survey_Type,ReserveStatus,Reference
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Megastraea undosa,wavy turban snail,0,0,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Parastichopus parvimensis,warty sea cucumber,0.0333,9.890484448339269,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Patiria miniata,bat star,1.6,15.570038692663902,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Pisaster giganteus,giant-spined sea star,0.2333,6.69392914814636,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Strongylocentrotus franciscanus,red sea urchin,0.5667,187.38134399868576,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Strongylocentrotus purpuratus,purple sea urchin,0.1,98.65452664370217,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Crassedoma giganteum,rock scallop,0.06,7.723460019807236,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis corrugata,pink abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis fulgens,green abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis rufescens,red abalone,0.02,16.800783550735993,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Kelletia kelletii,Kellet's whelk,0.015,1.9797661243072882,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Lophogorgia chilensis,red gorgonian,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Lytechinus anamesus,white sea urchin,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Macrocystis pyrifera,giant kelp,0.35,22.422250259956094,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Megastraea undosa,wavy turban snail,0,0,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Megathura crenulata,giant keyhole limpet,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Muricea fruticosa,brown gorgonian,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Parastichopus parvimensis,warty sea cucumber,0.175,42.4596070780136,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Patiria miniata,bat star,1.45,14.220849462217284,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Pisaster giganteus,giant-spined sea star,0.2,5.918671163252174,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Pycnopodia helianthoides,sunflower star,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Strongylocentrotus franciscanus,red sea urchin,0.75,193.54431688051903,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Strongylocentrotus purpuratus,purple sea urchin,0.05,98.47805281717011,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Tethya aurantia,orange puffball sponge,0.08,10.256018734510128,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Crassedoma giganteum,rock scallop,0.0075,2.283275742362945,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Haliotis corrugata,pink abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Haliotis fulgens,green abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Haliotis rufescens,red abalone,0.005,4.569350140480842,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Kelletia kelletii,Kellet's whelk,0.0625,5.412787103751213,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Lophogorgia chilensis,red gorgonian,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Lytechinus anamesus,white sea urchin,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Macrocystis pyrifera,giant kelp,0.325,42.12687576290323,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Megastraea undosa,wavy turban snail,0,0,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Megathura crenulata,giant keyhole limpet,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Muricea fruticosa,brown gorgonian,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Parastichopus parvimensis,warty sea cucumber,0.325,76.9364482526865,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Patiria miniata,bat star,0.7,7.474903309984203,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Pisaster giganteus,giant-spined sea star,0.125,4.1725946206977,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Pycnopodia helianthoides,sunflower star,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Strongylocentrotus franciscanus,red sea urchin,0.3,178.41426888911167,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Strongylocentrotus purpuratus,purple sea urchin,0,0,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,1984-07-01,Tethya aurantia,orange puffball sponge,0.0775,9.935518149056687,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Crassedoma giganteum,rock scallop,0.0181,3.508189556188515,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Haliotis corrugata,pink abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Haliotis fulgens,green abalone,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Haliotis rufescens,red abalone,0.0153,9.78287689677458,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Kelletia kelletii,Kellet's whelk,0.1167,14.4737536082154,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Lithopoma gibberosa,red turban snail,0.015,1.145423251642257,NA,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Lophogorgia chilensis,red gorgonian,0.0028,1.2284056723870544,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Lytechinus anamesus,white sea urchin,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Macrocystis pyrifera,giant kelp,0.4,76.60118098800001,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Megastraea undosa,wavy turban snail,0,0,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Megathura crenulata,giant keyhole limpet,0.0014,0.3703730380461763,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Muricea fruticosa,brown gorgonian,0,0,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Parastichopus parvimensis,warty sea cucumber,0.225,109.25133180900993,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Patiria miniata,bat star,0.775,7.480993696160219,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Pisaster giganteus,giant-spined sea star,0.1,3.5905691065128758,One_Meter,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Pycnopodia helianthoides,sunflower star,0.0028,1.1313455410802864,Bands,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-07-01,Strongylocentrotus franciscanus,red sea urchin,1.45,183.97537021552878,One_Meter,Outside,FALSE
